2026-03-05 14:52:17,009 - INFO - Loading train dataset from /home/satria/Project/ATLAS
2026-03-05 14:52:17,009 - INFO - Loaded 3776 raw label strings from train_labels.pkl
2026-03-05 14:52:17,014 - INFO - Parsed 3776 labels
2026-03-05 14:52:27,913 - INFO - Built trajectory cache: 5468 (video, track, roi) groups
2026-03-05 14:52:27,913 - WARNING - No parquet group for ('video_001', 9, 'BOT'), skipping
2026-03-05 14:52:27,913 - WARNING - No parquet group for ('video_001', 475, 'BOT'), skipping
2026-03-05 14:52:27,913 - WARNING - No parquet group for ('video_001', 575, 'BOT'), skipping
2026-03-05 14:52:27,913 - WARNING - No parquet group for ('video_001', 1029, 'BOT'), skipping
2026-03-05 14:52:27,913 - WARNING - No parquet group for ('video_003', 15, 'BOT'), skipping
2026-03-05 14:52:27,913 - WARNING - No parquet group for ('video_003', 37, 'BOT'), skipping
2026-03-05 14:52:27,913 - WARNING - No parquet group for ('video_003', 52, 'BOT'), skipping
2026-03-05 14:52:27,913 - WARNING - No parquet group for ('video_003', 850, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_003', 935, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_003', 955, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_003', 1081, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_003', 1169, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_005', 16, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_005', 188, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_005', 236, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_005', 273, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_005', 780, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_005', 1076, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_005', 1269, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_005', 1287, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_005', 1299, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_005', 1394, 'TOP'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_005', 1429, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_007', 2, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_007', 22, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_007', 180, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_007', 241, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_007', 287, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_007', 348, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_007', 353, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_009', 1, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_009', 234, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_009', 416, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_009', 897, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_009', 1106, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_009', 1150, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_011', 5, 'TOP'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_011', 168, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_011', 489, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_011', 518, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_011', 680, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_011', 860, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_013', 220, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_013', 1352, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_013', 1621, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_015', 296, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_015', 319, 'TOP'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_015', 324, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_017', 707, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_017', 788, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_019', 289, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_019', 322, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_021', 25, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_021', 76, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_021', 99, 'BOT'), skipping
2026-03-05 14:52:27,914 - WARNING - No parquet group for ('video_021', 146, 'TOP'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_021', 621, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_021', 670, 'BOT'), skipping
2026-03-05 14:52:27,915 - WARNING - No parquet group for ('video_021', 718, 'BOT'), skipping
